OBJECTID;CODE_VOIE;NOM_VOIE;TYPE_AMENAGEMENT;REALISATION;CIRCUL2R;CIRCVOIT;AFFECTATION;TOURNGAUCHE;SHAPE.LEN
57127;15210;Avenue de Mategnin;Bande; ;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;67.98721039163179
57128;15210;Avenue de Mategnin;Bande;2009;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;1.6249615380063598
57129;15210;Avenue de Mategnin;Bande;2009;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;61.3431544673079
57130;15210;Avenue de Mategnin;Bande;2012;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;5.38112441781455
57131;15210;Avenue de Mategnin;Bande;2012;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;8.12197636046794
57132;15210;Avenue de Mategnin;Bande;2013;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;25.056259704442198
57133;15210;Avenue de Mategnin;Bande;2013;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;8.79364543292485
57134;15210;Avenue de Mategnin;Bande;2013;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;39.466408473619204
57135;15210;Avenue de Mategnin;Bande;2013;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;30.9533895284114
57136;15210;Avenue de Mategnin;Bande;2013;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;14.6763070577371
57137;15210;Avenue de Mategnin;Piste; ;bidirectionnelle;dans le sens;mixité piétons;;230.98144015377
57138;15210;Avenue de Mategnin;Piste; ;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;213.52848364463802
57139;15210;Avenue de Mategnin;Piste; ;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;255.132731043658
57140;15210;Avenue de Mategnin;Piste;2009;bidirectionnelle; ;vélos + cyclomoteurs;;12.529588979691198
57141;15210;Avenue de Mategnin;Piste;2012;bidirectionnelle; ;vélos + cyclomoteurs;;3.46625157771331
57142;15210;Avenue de Mategnin;Piste;2013;unidirectionnelle; ;mixité piétons;;97.82614202603501
57143;15210;Avenue de Mategnin;Piste;2013;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;230.826185991744
57144;15210;Avenue de Mategnin;Piste;2013;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;101.438784808855
57145;15210;Avenue de Mategnin;Piste;2013;unidirectionnelle;dans le sens;mixité piétons;;399.648587284578
57146;15237;Rue  MAURICE;Dérogation 2R;1996;bidirectionnelle; ;au statut de la rue : vélos seuls;;37.5511517799388
57148;15288;Rue Barthélemy- MENN;Bande;1993;unidirectionnelle;contresens;vélos + cyclomoteurs;;9.28384618571419
57149;15288;Rue Barthélemy- MENN;Contresens;1993;; ;vélos + cyclomoteurs;;34.923261613257004
57150;15288;Rue Barthélemy- MENN;Contresens;1993;; ;vélos + cyclomoteurs;;47.487371828795794
57151;15288;Rue Barthélemy- MENN;Contresens;1993;; ;vélos + cyclomoteurs;;34.66550235543129
57152;15299;  ;Contresens;2010;unidirectionnelle;contresens;vélos + cyclomoteurs;;86.9226853956685
57153;15299;  ;Contresens;2010;unidirectionnelle;contresens;vélos + cyclomoteurs;;86.2252159247245
57154;15334;Rue  MERLE-D'AUBIGNÉ;Contresens;2010;unidirectionnelle; ;vélos + cyclomoteurs;;4.26812605249658
57155;15334;Rue  MERLE-D'AUBIGNÉ;Contresens;2010;unidirectionnelle; ;vélos + cyclomoteurs;;63.2291150072743
57156;15334;Rue  MERLE-D'AUBIGNÉ;Contresens;2010;unidirectionnelle; ;vélos + cyclomoteurs;;2.9699831649354502
57157;15334;Rue  MERLE-D'AUBIGNÉ;Contresens;2010;unidirectionnelle; ;vélos + cyclomoteurs;;73.0434749483336
57158;15344;  ;Contresens;2010;unidirectionnelle; ;vélos + cyclomoteurs;;53.8795595093385
57159;15344;  ;Contresens;2010;unidirectionnelle;contresens;vélos + cyclomoteurs;;39.889579705370004
57160;15393;Chemin des Mésanges;Contresens;2008;unidirectionnelle; ;vélos + cyclomoteurs;;99.70716423607679
57161;15474;Rue Pedro- MEYLAN;Bande;2005;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;80.8100792091912
57162;15474;Rue Pedro- MEYLAN;Bande;2005;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;62.3812201196422
57163;15482;Route de Meyrin;Bande;1993;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;11.7584352700519
57164;15482;Route de Meyrin;Bande;1993;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;18.2640630747925
57165;15482;Route de Meyrin;Bande;2009;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;46.2640529826604
57166;15482;Route de Meyrin;Bande;2009;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;42.12313912926759
57167;15482;Route de Meyrin;Bande;2009;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;23.8756222812926
57170;15482;Route de Meyrin;Bande;2009;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;19.0601285410146
57171;15482;Route de Meyrin;Bande;2009;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;41.714657074943005
57172;15482;Route de Meyrin;Bande;2009;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;47.9704536216373
57173;15482;Route de Meyrin;Bande;2011;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;17.0878731479325
57174;15482;Route de Meyrin;Bande;2011;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;32.8486616820081
57175;15482;Route de Meyrin;Bande;2011;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;7.72541908248349
57176;15482;Route de Meyrin;Bande;2011;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;10.9354469501708
57177;15482;Route de Meyrin;Bande;2011;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;21.491126075662
57178;15482;Route de Meyrin;Bande;2011;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;36.099778293658304
57179;15482;Route de Meyrin;Bande;2011;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;29.2165406223709
57180;15482;Route de Meyrin;Bande;2011;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;13.2669702645329
57184;15482;Route de Meyrin;Bande;2011;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;10.0352281322432
57185;15482;Route de Meyrin;Bande;2011;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;6.237122734081799
57186;15482;Route de Meyrin;Bande;2011;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;30.838485695636898
57187;15482;Route de Meyrin;Bande;2011;unidirectionnelle;dans le sens;vélos + cyclomoteurs;;10.1067155891516
